Make	Price	Country	Reliability	Type
Acura Legend	24760	Japan	5	Medium
Buick Century	13150	USA	3	Medium
Buick Le Sabre	16145	USA	3	Large
Chevrolet Beretta	10320	USA	1	Compact
Chevrolet Caprice	14525	USA	1	Large
Chrysler Le Baron	10945	USA	4	Compact
Chrysler Le Baron Coupe	12495	USA	2	Medium
Dodge Daytona	9745	USA	1	Sporty
Dodge Grand Caravan	15395	USA	3	Van
Eagle Premier	15350	USA	2	Medium
Eagle Summit	8895	USA	4	Small
Ford Aerostar	12267	USA	3	Van
Ford Escort	7402	USA	2	Small
Ford Festiva	6319	Korea	4	Small
Ford LTD Crown Victoria	17257	USA	3	Large
Ford Probe	11470	USA	3	Sporty
Ford Tempo	9483	USA	2	Compact
Ford Thunderbird	14980	USA	1	Medium
Honda Accord	12145	Japan	5	Compact
Honda Civic	6635	Japan	5	Small
Honda Civic CRX	9410	Japan	5	Sporty
Honda Prelude	13945	Japan	5	Sporty
Mazda 626	12459	Japan	4	Compact
Mazda 929	23300	Japan	5	Medium
Mazda MPV	14944	Japan	5	Van
Mazda Protege	6599	Japan	5	Small
Mitsubishi Galant	10989	Japan	5	Compact
Mitsubishi Sigma	17879	Japan	4	Compact
Nissan 240SX	13249	Japan	3	Sporty
Nissan Maxima	17899	Japan	5	Medium
Nissan Sentra	7399	Japan	5	Small
Nissan Stanza	11650	Japan	5	Compact
Pontiac Grand Am	10565	USA	2	Compact
Pontiac LeMans	7254	Korea	1	Small
Subaru Legacy	11499	Japan	5	Compact
Subaru Loyale	9599	Japan	5	Small
Toyota Camry	11588	Japan	5	Compact
Toyota Corolla	8748	Japan	5	Small
Toyota Cressida	21498	Japan	3	Medium
Toyota Tercel	6488	Japan	5	Small
